"City","Code"
"Buguda","06818"
"Bulandshahar","05732"
"Bulbulchandi","03511"
"Buldhana","07262"
"Bundi","0747"
"Bundu","06530"
"Burdwan","0342"
"Burhanpur","07325"
"Butibori","07103"
"Buxer","06183"
"Buxwaha","07609"
"Calcutta","033"
"Calicut","0495"
"Canacona","08346"
"Cannanore","0497"
"Canning","03218"
"Capianganj-Ii","05563"
"Captanganj-I","05567"
"Chachaura","07546"
"Chaibasa","06582"
"Chainpur","06586"
"Chainpur","06535"
"Chakai","06347"
"Chakardharpur","06587"
"Chakia","05413"
"Chakpikarong","03878"
"Chakrata","01360"
"Chalisgaon","02589"
"Chamba","01899"
"Chamoli","01372"
"Chamorshi","07135"
"Champadanga","03212"
"Champai-I","03831"
"Champai-Ii","03830"
"Champawat","05965"
"Chanasma","02734"
"Chandauli","05412"
"Chandbali","06786"
"Chandel","03872"
"Chanderi","07547"
"Chandgad","02320"
"Chandigarh","0172"
"Chandil","06591"
"Chandipara","07818"
"Chandoor","08681"
"Chandrapur","07172"
"Chandur Rly.","07222"
"Chandurbazar","07227"
"Changlang","03808"
"Chanwad","02556"
"Chapara","06152"
"Charkhari","05283"
"Charkhidadri","01250"
"Chatra","06541"
"Chaurai","07166"
"Chavitidibbalu","08863"
"Chavparan","06547"
"Cheeka","01743"
"Chejerla","08628"
"Chengalpattu","044"
"Chengam","04188"
"Chennai","044"
"Chepurupalli","08952"
"Cherial","08710"
"Cherrapunjee","03637"
"Chetlet","04899"
"Chevella","08417"
"Chhabra","07452"
"Chhachrauli","01735"
"Chhapara","07691"
"Chhata","05662"
"Chhatarpur","07682"
"Chhatrapur","06811"
"Chhendipada","06761"
"Chhibramau","05691"
"Chhikaldara","07220"
"Chhinagarh","07863"
"Chhindwara","07162"
"Chhipaborad","07454"
"Chhota Udaipur","02669"
"Chhuriakala","07745"
"Chicholi","07145"
"Chidambaram","04144"
"Chikhali","07264"
"Chinchwad","0212"
"Chingmut","07855"
"Chinnor","08737"
"Chintalapudi","08823"
"Chintapalle","08937"
"Chiplun","02355"
"Chirala","08594"
"Chirawa","01596"
"Chirgaon","05170"
"Chitrangi","07806"
"Chittoor","08572"
"Chittorgarh","01472"
"Chodavaram","08934"
"Chohtan (N)","02989"
"Chohtan (S)","02903"
"Chopda","02586"
"Chotila","02751"
"Chowkhem","03806"
"Chuikhadan","07743"
"Chumur","07170"
"Chunur","05443"
"Churah","01896"
"Churchandpur","03874"
"Churhat","07802"
"Churu","01562"
"Coimbatore","0422"
"Contai","03220"
"Coochbehar","03582"
"Cuddalore","04142"
"Cuddapah","08562"
"Cumbum","08406"
"Cumbum","04554"
"Cuttack","0671"
"Dabhara","07758"
"Dabhoi","02663"
"Dabra","07524"
"Dabwali","01668"
"Dadengiri","03650"
"Dahanu","02528"
"Dahod","02673"
"Daimond Harbour","03174"
"Dalkhola","03525"
"Dallirajhara","07748"
"Dalmau-I","05317"
"Dalmau-Ii","05315"
"Dalsinghsarai","06278"
"Daltonganj","06562"
"Damnagar","02793"
"Damoh","07638"
"Damoh","07812"
"Danapur","06115"
"Danta","02749"
"Dantan","03229"
"Dantaramgarh(E)","01576"
"Dantaramgarh(W)","01577"
"Dantewada","07856"
"Dapoli","02358"
"Daporizo","03792"
"Darbhanga","06272"
"Daringbadi","06849"
"Darjeeling","0354"
"Darsi","08407"
"Darwaha","07238"
"Daryapur","07224"
"Dasada","02757"
"Daspalla","06757"
"Dasua","01883"
"Dataganj","05831"
"Datia","07522"
"Daudnagar","06328"
"Daund","02117"
"Dausa","01427"
"Debai","05734"
"Dediapada","02649"
"Deedwana","01580"
"Deeg","05641"
"Deesa","02744"
"Degana","01587"
"Degloor","02463"
"Dehgam","02716"
"Dehra Gopipur","01970"
"Dehradun","0135"
"Delhi Tanda","02460"
"Demagiri","03834"
"Denkanikoitah","04347"
"Deoband","01336"
"Deobhog","07704"
"Deodar","02735"
"Deodgarh","06641"
"Deogad","02364"
"Deogarh","02904"
"Deoghar","06432"
"Deolgaonraja","07261"
"Deoli","07158"
"Deoli","01434"
"Deoprayag-I","01378"
"Deoprayag-Ii","01370"
"Deori","07586"
"Deori","07199"
"Deoria","05568"
"Deosar","07801"
"Depalpur","07322"
"Derapur","05114"
"Desaiganj","07137"
"Desuri","02934"
"Devakottai","04561"
"Devarakonda","08691"
"Devgadhbaria","02678"
"Dewas","07272"
"Dhadgaon","02595"
"Dhaka","06250"
"Dhakuakhana","03758"
"Dhamda","07821"
"Dhamdaha","06462"
"Dhampur","01344"
"Dhamtari","07722"
"Dhanbad","0326"
"Dhandhuka","02713"
"Dhanera","02748"
"Dhaniakhali","03213"
"Dhanmandal","06725"
"Dhanora","07138"
"Dhar","07292"
"Dharam Nagar","03822"
"Dharamgarh","06672"
"Dharamjaigarh","07766"
"Dharampur","02633"
"Dharampuram","04258"
"Dharampuri","07294"
"Dharani","07226"
"Dharchula","05967"
"Dhari","02797"
"Dhariawad","02950"
"Dharmapuri","04342"
"Dharmavaram","08559"
"Dhemaji","03753"
"Dhenkanal","06762"
"Dhiwadi","02165"
"Dholka","02714"
"Dholpur","05642"
"Dhoraji","02824"
"Dhrangadhra","02754"
"Dhrol","02897"
"Dhubri","03662"
"Dhulia","02562"
"Dhuliyan","03485"
"Dibrugarh","0373"
"Dichpalli","08461"
"Digapahandi","06814"
"Digboi","03751"
"Digod","07455"
"Digras","07234"
"Dimapur","03862"
"Dinanagar","01875"
"Dindigul","0451"
"Dindori","07644"
"Dindori","02557"
"Dinhata","03581"
"Diphu","03671"
"Dirang","03780"
"Divi","08671"
"Doda","01996"
"Domariyaganj","05541"
"Donakonda","08408"
"Dongargarh","07823"
"Dronachalam","08516"
"Dudhi-I","05447"
"Dudhi-Ii","05446"
"Dudu","01428"
"Dumka","06434"
"Dumraon","06323"
"Dumri","06558"
"Dunda","01371"
"Dungarpur","02964"
"Dungla","01470"
"Dunguripali","06653"
"Durg","0788"
"Durgakondal","07843"
"Durgapur","0343"
"Edalabad","02583"
"Ekma","06155"
"Ellenabad","01698"
"Eluru","08812"
"Erandul","02588"
"Ernakulam","0484"
"Erode","0424"
"Etah","05742"
"Etapalli","07136"
"Etawah","05688"
"Eturnagaram","08717"
"Faizabad","05278"
"Faridabad","0129"
"Faridkot","01639"
"Farrukhabad","05692"
"Fatehabad","01667"
"Fatehpur","01571"
"Fatehpur","05240"
"Fatehpur-I","05180"
